ID_Establecimiento;Nombre;Coordenadas;Tipo Establecimiento;Establecimiento Oficial;Servicio Establecimiento;Descripcion Servicio ;Calificacion;Comentario
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;7;Buen servicio
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Reserva de mesas;Reserva de mesas;7;Buen servicio
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;6;Buen servicio
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Reserva de mesas;Reserva de mesas;6;Buen servicio
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;5;Bastante bueno
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Reserva de mesas;Reserva de mesas;5;Bastante bueno
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;4;Podria mejorar
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Reserva de mesas;Reserva de mesas;4;Podria mejorar
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;3;Malo
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Reserva de mesas;Reserva de mesas;3;Malo
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;4;Debe mejorar
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Reserva de mesas;Reserva de mesas;4;Debe mejorar
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;7;Excelente temporada
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Reserva de mesas;Reserva de mesas;7;Excelente temporada
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;7;Excelente 
2;Hacienda Real;48.87146,2.3550;Restaurantes;Si;Reserva de mesas;Reserva de mesas;7;Excelente 
3;Kloster;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;7;Excelente 
3;Kloster;48.87146,2.3550;Restaurantes;Si;Reserva de mesas;Reserva de mesas;7;Excelente 
4;Ali baba;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;7;Excelente 
5;Cafe LaPaix;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;7;Excelente 
6;La Creppe;48.87146,2.3550;Restaurantes;Si;Servicio a domicilio; Servicio a domicilio;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Spa;Spa;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Piscina;Piscina;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Gimnasio;Gimnasio;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Tennis;Cancha de Tennis;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Futbol;Cancha de Futbol;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Spa;Spa;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Piscina;Piscina;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Gimnasio;Gimnasio;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Tennis;Cancha de Tennis;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Futbol;Cancha de Futbol;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Spa;Spa;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Piscina;Piscina;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Gimnasio;Gimnasio;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Tennis;Cancha de Tennis;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Futbol;Cancha de Futbol;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Spa;Spa;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Piscina;Piscina;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Gimnasio;Gimnasio;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Tennis;Cancha de Tennis;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Futbol;Cancha de Futbol;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Spa;Spa;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Piscina;Piscina;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Gimnasio;Gimnasio;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Tennis;Cancha de Tennis;7;Excelente 
12;Hostales del Irtra;47.87146,2.4550;Hospedaje;Si;Cancha de Futbol;Cancha de Futbol;7;Excelente 
22;JR Centrocar;47.87145,2.4549;Taller Mecanico;Si;Servicio de cajas mecanicas;Servicio de cajas mecanicas;7;Excelente 
23;Vifrio Car Express;47.87145,2.4549;Taller Mecanico;Si;Servicio de cajas automaticas;Servicio de cajas automaticas;7;Excelente 
24;Vitatrac;47.87145,2.4549;Taller Mecanico;Si;Mantenimiento General;Mantenimiento General;7;Excelente 
24;Vitatrac;47.87145,2.4549;Taller Mecanico;Si;Servicio de cajas automaticas;Servicio de cajas automaticas;7;Excelente 
24;Vitatrac;47.87145,2.4549;Taller Mecanico;Si;Servicio de cajas mecanicas;Servicio de cajas mecanicas;7;Excelente 
24;Vitatrac;47.87145,2.4549;Taller Mecanico;Si;Mantenimiento General;Mantenimiento General;7;Excelente 
24;Vitatrac;47.87145,2.4549;Taller Mecanico;Si;Servicio de cajas automaticas;Servicio de cajas automaticas;7;Excelente 
24;Vitatrac;47.87145,2.4549;Taller Mecanico;Si;Servicio de cajas mecanicas;Servicio de cajas mecanicas;7;Excelente 
24;Vitatrac;47.87145,2.4549;Taller Mecanico;Si;Mantenimiento General;Mantenimiento General;7;Excelente 
